100,322,83,113,127,0.5,0.5,100
200,689,181,229,280,1.5,1.5,200
300,1018,286,336,397,2.5,2.5,300
400,1362,451,438,474,3.5,3.5,400
500,1760,587,574,600,4.5,4.5,500
600,2068,642,693,734,5.5,5.5,600
700,2313,669,788,857,6.5,6.5,700
800,2552,697,876,979,7.5,7.5,800
900,2795,734,962,1101,8.5,8.5,900
1000,3054,781,1048,1226,9.5,9.5,1000
